hgnc_symbol	start_position	end_position	chromosome_name
NEUROG2	NEUROG2	113434672	113437328	4
NEUROG3	NEUROG3	71331454	71332994	10
NEXN	NEXN	78354198	78409580	1
NF1	NF1	29421945	29709134	17
NF2	NF2	29999545	30094587	22
NFAM1	NFAM1	42776416	42828401	22
NFASC	NFASC	204797779	204991950	1
NFAT5	NFAT5	69598997	69738569	16
NFATC1	NFATC1	77155856	77289325	18
NFATC2	NFATC2	50003494	50179370	20
NFATC2IP	NFATC2IP	28962128	28978418	16
NFATC3	NFATC3	68118654	68263162	16
NFATC4	NFATC4	24834879	24848810	14
NFE2	NFE2	54685895	54694905	12
NFE2L1	NFE2L1	46125691	46138849	17
NFE2L2	NFE2L2	178092323	178257425	2
NFE2L3	NFE2L3	26191860	26226745	7
NFIA	NFIA	61330931	61928465	1
NFIB	NFIB	14081842	14398982	9
NFIC	NFIC	3359561	3469215	19
NFIL3	NFIL3	94171327	94186144	9
NFIX	NFIX	13106422	13209610	19
NFKB1	NFKB1	103422486	103538459	4
NFKB2	NFKB2	104153867	104162281	10
NFKBIA	NFKBIA	35870717	35873955	14
NFKBIB	NFKBIB	39390340	39399533	19
NFKBID	NFKBID	36378555	36393205	19
NFKBIE	NFKBIE	44225903	44233500	6
NFKBIZ	NFKBIZ	101546835	101579866	3
NFRKB	NFRKB	129733531	129765485	11
NFS1	NFS1	34255977	34287281	20
NFU1	NFU1	69622882	69664760	2
NFX1	NFX1	33290509	33371155	9
NFXL1	NFXL1	47849257	47916653	4
NFYA	NFYA	41040684	41067715	6
NFYB	NFYB	104510855	104532067	12
NFYC	NFYC	41157320	41237275	1
NGB	NGB	77731826	77737655	14
NGDN	NGDN	23938897	23979071	14
NGEF	NGEF	233743396	233877982	2
NGF	NGF	115828539	115880857	1
NGFR	NGFR	47572655	47592379	17
NGLY1	NGLY1	25760435	25831530	3
NGRN	NGRN	90808891	90816463	15
NHEJ1	NHEJ1	219940039	220025587	2
NHLH1	NHLH1	160336857	160342638	1
NHLH2	NHLH2	116378998	116386538	1
NHLRC1	NHLRC1	18120718	18122851	6
NHLRC2	NHLRC2	115614420	115676953	10
NHLRC3	NHLRC3	39612443	39624246	13
NHLRC4	NHLRC4	616996	619495	16
NHP2	NHP2	177576461	177580968	5
NHS	NHS	17393543	17754114	X
NHSL1	NHSL1	138743180	139013708	6
NHSL2	NHSL2	71130938	71363424	X
NICN1	NICN1	49460379	49466759	3
NID1	NID1	236139130	236228462	1
NID2	NID2	52471521	52535712	14
NIF3L1	NIF3L1	201754050	201768655	2
NIFK	NIFK	122484521	122494499	2
NIM1K	NIM1K	43192173	43280952	5
NIN	NIN	51186481	51297839	14
NINJ1	NINJ1	95883771	95896570	9
NINJ2	NINJ2	673462	772945	12
NINL	NINL	25433341	25566153	20
NIP7	NIP7	69373333	69377014	16
NIPA1	NIPA1	23043277	23100005	15
NIPA2	NIPA2	23004684	23034427	15
NIPAL1	NIPAL1	47916159	48042188	4
NIPAL2	NIPAL2	99202061	99306621	8
NIPAL3	NIPAL3	24742284	24799466	1
NIPAL4	NIPAL4	156887027	156901725	5
NIPBL	NIPBL	36876861	37066515	5
NIPSNAP1	NIPSNAP1	29950797	29977326	22
NIPSNAP3A	NIPSNAP3A	107509969	107522403	9
NIPSNAP3B	NIPSNAP3B	107526438	107539738	9
NISCH	NISCH	52489134	52527087	3
NIT1	NIT1	161087876	161095235	1
NIT2	NIT2	100053545	100075710	3
NKAIN1	NKAIN1	31652592	31712401	1
NKAIN2	NKAIN2	124125286	125146803	6
NKAIN3	NKAIN3	63161150	63912211	8
NKAIN4	NKAIN4	61872136	61904046	20
NKAP	NKAP	119059014	119077735	X
NKAPL	NKAPL	28227098	28228736	6
NKD1	NKD1	50582241	50670647	16
NKD2	NKD2	1008944	1039058	5
NKG7	NKG7	51874860	51875969	19
NKIRAS1	NKIRAS1	23933151	23988082	3
NKPD1	NKPD1	45653008	45663408	19
NKRF	NKRF	118722300	118739858	X
NKTR	NKTR	42642106	42690227	3
NKX1-1	NKX1-1	1396720	1400119	4
NKX1-2	NKX1-2	126135592	126138753	10
NKX2-1	NKX2-1	36985602	36990354	14
NKX2-2	NKX2-2	21491648	21494664	20
NKX2-3	NKX2-3	101292690	101296278	10
NKX2-4	NKX2-4	21376005	21378666	20
NKX2-5	NKX2-5	172659112	172662360	5
NKX2-6	NKX2-6	23559964	23564111	8
NKX2-8	NKX2-8	37049784	37051812	14
NKX3-1	NKX3-1	23536206	23540440	8
NKX3-2	NKX3-2	13542454	13546674	4
NKX6-1	NKX6-1	85413140	85419603	4
NKX6-2	NKX6-2	134598297	134599556	10
NKX6-3	NKX6-3	41502697	41508855	8
NLE1	NLE1	33455772	33469334	17
NLGN1	NLGN1	173114074	174004434	3
NLGN2	NLGN2	7308193	7323179	17
NLGN3	NLGN3	70364681	70391051	X
NLGN4X	NLGN4X	5758678	6146904	X
NLGN4Y	NLGN4Y	16634518	16957530	Y
NLK	NLK	26368763	26523407	17
NLN	NLN	65018023	65167553	5
NLRC3	NLRC3	3589033	3627401	16
NLRC4	NLRC4	32449522	32490923	2
NLRC5	NLRC5	57023397	57117443	16
NLRP1	NLRP1	5402747	5522744	17
NLRP11	NLRP11	56296770	56348166	19
NLRP12	NLRP12	54296857	54327648	19
NLRP13	NLRP13	56403065	56443702	19
NLRP14	NLRP14	7041677	7092539	11
NLRP2	NLRP2	55464498	55512510	19
NLRP3	NLRP3	247579458	247612410	1
NLRP4	NLRP4	56347944	56393220	19
NLRP5	NLRP5	56511092	56573179	19
NLRP6	NLRP6	278365	285359	11
NLRP7	NLRP7	55434877	55477680	19
NLRP8	NLRP8	56459198	56499995	19
NLRP9	NLRP9	56219798	56249768	19
NLRX1	NLRX1	119037277	119054725	11
NMB	NMB	85198360	85201794	15
NMBR	NMBR	142379467	142409936	6
NMD3	NMD3	160822484	160971320	3
NME1	NME1	49230897	49239789	17
NME1-NME2	NME1-NME2	49230920	49249108	17
NME2	NME2	49230951	49249105	17
NME3	NME3	1820287	1821731	16
NME4	NME4	446725	460367	16
NME5	NME5	137450866	137475132	5
NME6	NME6	48334754	48343175	3
NME7	NME7	169101769	169337205	1
NME8	NME8	37888199	37940003	7
NME9	NME9	137980279	138048728	3
NMI	NMI	152126979	152146571	2
NMNAT1	NMNAT1	10003486	10045559	1
NMNAT2	NMNAT2	183217372	183387737	1
NMNAT3	NMNAT3	139279022	139396859	3
NMRAL1	NMRAL1	4511681	4545764	16
NMRK1	NMRK1	77675489	77703133	9
NMRK2	NMRK2	3933101	3942414	19
NMT1	NMT1	43128978	43186384	17
NMT2	NMT2	15144583	15210692	10
NMU	NMU	56461396	56502865	4
NMUR1	NMUR1	232387871	232395206	2
NMUR2	NMUR2	151771093	151812929	5
NNAT	NNAT	36149617	36152092	20
NNMT	NNMT	114128509	114184007	11
NNT	NNT	43602794	43707507	5
NOA1	NOA1	57829536	57844989	4
NOB1	NOB1	69775770	69788843	16
NOBOX	NOBOX	144094333	144107320	7
NOC2L	NOC2L	879584	894689	1
NOC3L	NOC3L	96075004	96122716	10
NOC4L	NOC4L	132628993	132637013	12
NOD1	NOD1	30464143	30518400	7
NOD2	NOD2	50727514	50766988	16
NODAL	NODAL	72192071	72207707	10
NOG	NOG	54671060	54672951	17
NOL10	NOL10	10710892	10830101	2
NOL11	NOL11	65713949	65740647	17
NOL12	NOL12	38077680	38170137	22
NOL3	NOL3	67204057	67209643	16
NOL4	NOL4	31431064	31804916	18
NOL6	NOL6	33461439	33473928	9
NOL7	NOL7	13615559	13632971	6
NOL8	NOL8	95059640	95087918	9
NOL9	NOL9	6581407	6614595	1
NOLC1	NOLC1	103911933	103923627	10
NOM1	NOM1	156742417	156765876	7
NOMO1	NOMO1	14927538	14990017	16
NOMO2	NOMO2	18511182	18573533	16
NOMO3	NOMO3	16326352	16388668	16
NONO	NONO	70503042	70521018	X
NOP10	NOP10	34633917	34635378	15
NOP14	NOP14	2939660	2965112	4
NOP16	NOP16	175810949	175815976	5
NOP2	NOP2	6666029	6677857	12
NOP56	NOP56	2632791	2639039	20
NOP58	NOP58	203130439	203168389	2
NOP9	NOP9	24769068	24778330	14
NOS1	NOS1	117645947	117889975	12
NOS1AP	NOS1AP	162039564	162353321	1
NOS2	NOS2	26083792	26127525	17
NOS3	NOS3	150688083	150711676	7
NOSIP	NOSIP	50058968	50093519	19
NOTCH1	NOTCH1	139388896	139440314	9
NOTCH2	NOTCH2	120454176	120612240	1
NOTCH3	NOTCH3	15270444	15311792	19
NOTO	NOTO	73429386	73439641	2
NOTUM	NOTUM	79910388	79919716	17
NOV	NOV	120428546	120436593	8
NOVA1	NOVA1	26912299	27066960	14
NOVA2	NOVA2	46436992	46476804	19
NOX1	NOX1	100098313	100129334	X
NOX3	NOX3	155716504	155777037	6
NOX4	NOX4	89057524	89322779	11
NOX5	NOX5	69222864	69355083	15
NOXA1	NOXA1	140317802	140328858	9
NOXO1	NOXO1	2028918	2034193	16
NOXRED1	NOXRED1	77860364	77889860	14
NPAP1	NPAP1	24920541	24928593	15
NPAS1	NPAS1	47523077	47549033	19
NPAS2	NPAS2	101436614	101613291	2
NPAS3	NPAS3	33404139	34273382	14
NPAS4	NPAS4	66188475	66194178	11
NPAT	NPAT	108027942	108093369	11
NPB	NPB	79858621	79860781	17
NPBWR1	NPBWR1	53850991	53853677	8
NPBWR2	NPBWR2	62737173	62738524	20
NPC1	NPC1	21086148	21166862	18
NPC1L1	NPC1L1	44552134	44580914	7
NPC2	NPC2	74942895	74960880	14
NPDC1	NPDC1	139933922	139940655	9
NPEPL1	NPEPL1	57264187	57294294	20
NPEPPS	NPEPPS	45600308	45700642	17
NPFFR1	NPFFR1	72007085	72043432	10
NPFFR2	NPFFR2	72897521	73013784	4
NPHP1	NPHP1	110879888	110962643	2
NPHP3	NPHP3	132276986	132441303	3
NPHP4	NPHP4	5922871	6052533	1
NPHS1	NPHS1	36316866	36360189	19
NPHS2	NPHS2	179519674	179545087	1
NPIPA1	NPIPA1	15016659	15045915	16
NPIPA2	NPIPA2	14841923	14859270	16
NPIPA3	NPIPA3	14802801	14820195	16
NPIPA5	NPIPA5	15457516	15474904	16
NPIPA7	NPIPA7	16472912	16487811	16
NPIPB11	NPIPB11	29392675	29415350	16
NPIPB15	NPIPB15	74411776	74425978	16
NPIPB3	NPIPB3	21413558	21459888	16
NPIPB4	NPIPB4	21845890	21892148	16
NPIPB6	NPIPB6	28353876	28374829	16
NPIPB8	NPIPB8	28648975	28670003	16
NPIPB9	NPIPB9	28763108	28784128	16
NPL	NPL	182758428	182799519	1
NPLOC4	NPLOC4	79523913	79615495	17
NPM1	NPM1	170814120	170838141	5
NPM2	NPM2	21881636	21894408	8
NPM3	NPM3	103541082	103543170	10
NPNT	NPNT	106815932	106925184	4
NPPA	NPPA	11905766	11908402	1
NPPB	NPPB	11917521	11918988	1
NPPC	NPPC	232786530	232791113	2
NPR1	NPR1	153651113	153666468	1
NPR2	NPR2	35792151	35809729	9
NPR3	NPR3	32689176	32791819	5
NPRL2	NPRL2	50384761	50388522	3
NPRL3	NPRL3	134273	188859	16
NPSR1	NPSR1	34697851	34917944	7
NPTN	NPTN	73852355	73926475	15
NPTX1	NPTX1	78440948	78451643	17
NPTX2	NPTX2	98246609	98259180	7
NPTXR	NPTXR	39214457	39239987	22
NPVF	NPVF	25264189	25268105	7
NPW	NPW	2059927	2070756	16
NPY	NPY	24323782	24331484	7
NPY1R	NPY1R	164245113	164265984	4
NPY2R	NPY2R	156129781	156138230	4
NPY4R	NPY4R	47083534	47088320	10
NPY5R	NPY5R	164265091	164273086	4
NQO1	NQO1	69740899	69760854	16
NQO2	NQO2	2988221	3019996	6
NR0B1	NR0B1	30322323	30327715	X
NR0B2	NR0B2	27237980	27240457	1
NR1D1	NR1D1	38249040	38256978	17
NR1D2	NR1D2	23986751	24022109	3
NR1H2	NR1H2	50832910	50886239	19
NR1H3	NR1H3	47269851	47290396	11
NR1H4	NR1H4	100867486	100958191	12
NR1I2	NR1I2	119499331	119537332	3
NR1I3	NR1I3	161199456	161208092	1
NR2C1	NR2C1	95414005	95467479	12
NR2C2	NR2C2	14989091	15095107	3
NR2C2AP	NR2C2AP	19312225	19314233	19
NR2E1	NR2E1	108487262	108510013	6
NR2E3	NR2E3	72084977	72110600	15
NR2F1	NR2F1	92919043	92930321	5
NR2F2	NR2F2	96869167	96883492	15
NR2F6	NR2F6	17342692	17356749	19
NR3C1	NR3C1	142657496	142815077	5
NR3C2	NR3C2	148999913	149365850	4
NR4A1	NR4A1	52416616	52453291	12
NR4A2	NR4A2	157180944	157198860	2
NR4A3	NR4A3	102584137	102629173	9
NR5A1	NR5A1	127243516	127269709	9
NR5A2	NR5A2	199996730	200146552	1
NR6A1	NR6A1	127279554	127533589	9
NRAP	NRAP	115348475	115423886	10
NRARP	NRARP	140194083	140196703	9
NRAS	NRAS	115247090	115259515	1
NRBF2	NRBF2	64893050	64914783	10
NRBP1	NRBP1	27650657	27665126	2
NRCAM	NRCAM	107788068	108097161	7
NRDE2	NRDE2	90742580	90798481	14
NREP	NREP	110998318	111333161	5
NRF1	NRF1	129251555	129396922	7
NRG1	NRG1	31496902	32622548	8
NRG2	NRG2	139226364	139422884	5
NRG3	NRG3	83635070	84746935	10
NRG4	NRG4	76228310	76352136	15
NRGN	NRGN	124609742	124617106	11
NRIP1	NRIP1	16333556	16437321	21
NRIP2	NRIP2	2934514	2944710	12
NRIP3	NRIP3	9002123	9025596	11
NRK	NRK	105066536	105202602	X
NRL	NRL	24549316	24584223	14
NRN1	NRN1	5998232	6007200	6
NRN1L	NRN1L	67918708	67922758	16
NRP1	NRP1	33466420	33625190	10
NRP2	NRP2	206546714	206662857	2
NRROS	NRROS	196366557	196388875	3
NRSN1	NRSN1	24126350	24155128	6
NRSN2	NRSN2	327426	340304	20
NRTN	NRTN	5823813	5828335	19
NRXN1	NRXN1	50145643	51259674	2
NRXN2	NRXN2	64373646	64490660	11
NRXN3	NRXN3	78708734	80330762	14
NSA2	NSA2	74062817	74072737	5
NSD1	NSD1	176560026	176727216	5
NSDHL	NSDHL	151999511	152038273	X
NSF	NSF	44668035	44834830	17
NSFL1C	NSFL1C	1422807	1454487	20
NSL1	NSL1	212899495	212965124	1
NSMAF	NSMAF	59496063	59572403	8
NSMCE1	NSMCE1	27236312	27280115	16
NSMCE2	NSMCE2	126103921	126379362	8
NSMCE4A	NSMCE4A	123716603	123734732	10
NSMF	NSMF	140342022	140353786	9
NSRP1	NSRP1	28442539	28513493	17
NSUN2	NSUN2	6599352	6633404	5
NSUN3	NSUN3	93781760	93847389	3
NSUN4	NSUN4	46805849	46830824	1
NSUN5	NSUN5	72716514	72722864	7
NSUN6	NSUN6	18834490	18940551	10
NSUN7	NSUN7	40751914	40812002	4
NT5C	NT5C	73126320	73127890	17
NT5C1B	NT5C1B	18737050	18770838	2
NT5C1B-RDH14	NT5C1B-RDH14	18736811	18770830	2
NT5C2	NT5C2	104845940	104953056	10
NT5C3A	NT5C3A	33053742	33102409	7
NT5DC1	NT5DC1	116422012	116570660	6
NT5DC2	NT5DC2	52558386	52569070	3
NT5DC3	NT5DC3	104164231	104234975	12
NT5DC4	NT5DC4	113479063	113500456	2
NT5E	NT5E	86159809	86205500	6
NT5M	NT5M	17206649	17250977	17
NTAN1	NTAN1	15131710	15149921	16
NTF3	NTF3	5541278	5630702	12
NTF4	NTF4	49559050	49568333	19
NTHL1	NTHL1	2089816	2097867	16
NTM	NTM	131240373	132206716	11
NTMT1	NTMT1	132371163	132398209	9
NTN1	NTN1	8924859	9147317	17
NTN3	NTN3	2521500	2524146	16
NTN4	NTN4	96051583	96184930	12
NTN5	NTN5	49164664	49176338	19
NTNG1	NTNG1	107682629	108026080	1
NTNG2	NTNG2	135037334	135119921	9
NTPCR	NTPCR	233086351	233119628	1
NTRK1	NTRK1	156785432	156851642	1
NTRK2	NTRK2	87283466	87638505	9
NTRK3	NTRK3	88418230	88799999	15
NTRK3-AS1	NTRK3-AS1	88795961	88814297	15
NTS	NTS	86268073	86276770	12
NTSR1	NTSR1	61340189	61394123	20
NTSR2	NTSR2	11798304	11810290	2
NUAK1	NUAK1	106457118	106533811	12
NUAK2	NUAK2	205271187	205290883	1
NUB1	NUB1	151038785	151075535	7
NUBP1	NUBP1	10837643	10863208	16
NUBP2	NUBP2	1832902	1839192	16
NUBPL	NUBPL	31959162	32330430	14
NUCB1	NUCB1	49403307	49426629	19
NUCB2	NUCB2	17229700	17371521	11
NUCKS1	NUCKS1	205681947	205719404	1
NUDC	NUDC	27226729	27273353	1
NUDCD1	NUDCD1	110253148	110346614	8
NUDCD2	NUDCD2	162873532	162887146	5
NUDCD3	NUDCD3	44418720	44530479	7
NUDT1	NUDT1	2281857	2290781	7
NUDT10	NUDT10	51075083	51080377	X
NUDT11	NUDT11	51232863	51239448	X
NUDT12	NUDT12	102884556	102898494	5
NUDT13	NUDT13	74870217	74891586	10
NUDT14	NUDT14	105639275	105647660	14
NUDT15	NUDT15	48611703	48621358	13
NUDT16	NUDT16	131100515	131107674	3
NUDT16L1	NUDT16L1	4743695	4745860	16
NUDT17	NUDT17	145586115	145589439	1
NUDT18	NUDT18	21964383	21966932	8
NUDT19	NUDT19	33182867	33204702	19
NUDT2	NUDT2	34329504	34343709	9
NUDT21	NUDT21	56463045	56486111	16
NUDT22	NUDT22	63993413	63998158	11
NUDT3	NUDT3	34247456	34360451	6
NUDT4	NUDT4	93771659	93797024	12
NUDT5	NUDT5	12207324	12238143	10
NUDT6	NUDT6	123809852	123844123	4
NUDT7	NUDT7	77756411	77776157	16
NUDT8	NUDT8	67395409	67397401	11
NUDT9	NUDT9	88343734	88380606	4
NUF2	NUF2	163236366	163325554	1
NUFIP1	NUFIP1	45513384	45563618	13
NUFIP2	NUFIP2	27582854	27621136	17
NUGGC	NUGGC	27879481	27941388	8
NUMA1	NUMA1	71713910	71791739	11
NUMB	NUMB	73741815	73930348	14
NUMBL	NUMBL	41172596	41196877	19
NUP107	NUP107	69080514	69136785	12
NUP133	NUP133	229577045	229644103	1
NUP153	NUP153	17615269	17706656	6
NUP155	NUP155	37288239	37371283	5
NUP160	NUP160	47799639	47870107	11
NUP188	NUP188	131709978	131769375	9
NUP205	NUP205	135242667	135333505	7
NUP210	NUP210	13357737	13461809	3
NUP210L	NUP210L	153965161	154127592	1
NUP214	NUP214	134000948	134110057	9
NUP35	NUP35	183982241	184026408	2
NUP37	NUP37	102467967	102513902	12
NUP43	NUP43	150045451	150070801	6
NUP50	NUP50	45559722	45583896	22
NUP54	NUP54	77035812	77069668	4
NUP62	NUP62	50410082	50433020	19
NUP62CL	NUP62CL	106366657	106449670	X
NUP85	NUP85	73201754	73231853	17
NUP88	NUP88	5264258	5323480	17
NUP93	NUP93	56764017	56878797	16
NUP98	NUP98	3692313	3819022	11
NUPL2	NUPL2	23221446	23240630	7
NUPR1	NUPR1	28548606	28550495	16
NUS1	NUS1	117996665	118031803	6
NUSAP1	NUSAP1	41624892	41673248	15
NUTF2	NUTF2	67880635	67906470	16
NUTM1	NUTM1	34635516	34649938	15
NUTM2A	NUTM2A	88985205	88996665	10
NUTM2B	NUTM2B	81462983	81474437	10
NUTM2D	NUTM2D	89117425	89130452	10
NUTM2E	NUTM2E	81601114	81610632	10
NUTM2F	NUTM2F	97077605	97090926	9
NUTM2G	NUTM2G	99690592	99702535	9
NVL	NVL	224415036	224518089	1
NWD1	NWD1	16830787	16928774	19
NXF1	NXF1	62559595	62573774	11
NXF2B	NXF2B	101615316	101726732	X
NXF3	NXF3	102330738	102348157	X
NXF5	NXF5	101087085	101112549	X
NXN	NXN	702553	883010	17
NXNL1	NXNL1	17566234	17571763	19
NXNL2	NXNL2	91150016	91199189	9
NXPE1	NXPE1	114392437	114430617	11
NXPE2	NXPE2	114549108	114579362	11
NXPE3	NXPE3	101498046	101547073	3
NXPE4	NXPE4	114441313	114466484	11
NXPH1	NXPH1	8473585	8792593	7
NXPH3	NXPH3	47653220	47661189	17
NXPH4	NXPH4	57610578	57620232	12
NXT1	NXT1	23331373	23335414	20
NXT2	NXT2	108779010	108787919	X
NYAP1	NYAP1	100081550	100092422	7
NYAP2	NYAP2	226265364	226518734	2
NYNRIN	NYNRIN	24867992	24888494	14
NYX	NYX	41306687	41334963	X
OAF	OAF	120081475	120101041	11
OARD1	OARD1	41001366	41065526	6
OAS1	OAS1	113344582	113369990	12
OAS2	OAS2	113416200	113449528	12
OAS3	OAS3	113376157	113411054	12
OASL	OASL	121458095	121477045	12
OAT	OAT	126085872	126107545	10
OAZ1	OAZ1	2269485	2273487	19
OAZ2	OAZ2	64979772	64995480	15
OAZ3	OAZ3	151735445	151743808	1
OBP2A	OBP2A	138437985	138441815	9
OBSCN	OBSCN	228395831	228566577	1
OBSL1	OBSL1	220415451	220436581	2
OC90	OC90	133036467	133071627	8
OCA2	OCA2	28000021	28344504	15
OCEL1	OCEL1	17337013	17340028	19
OCIAD1	OCIAD1	48807229	48863834	4
OCIAD2	OCIAD2	48887036	48908954	4
OCLM	OCLM	186369704	186370587	1
OCLN	OCLN	68788119	68853931	5
OCM	OCM	5919458	5925993	7
OCM2	OCM2	97613996	97620481	7
OCRL	OCRL	128673826	128726538	X
OCSTAMP	OCSTAMP	45169585	45179213	20
ODAM	ODAM	71062213	71070293	4
ODC1	ODC1	10580094	10588630	2
ODF1	ODF1	103563800	103573245	8
ODF2	ODF2	131217465	131263571	9
ODF2L	ODF2L	86814344	86862023	1
ODF3	ODF3	196738	200261	11
ODF3B	ODF3B	50968139	50971009	22
ODF3L1	ODF3L1	76016318	76020029	15
ODF3L2	ODF3L2	463346	474983	19
ODF4	ODF4	8243182	8249364	17
OFD1	OFD1	13752832	13787480	X
OGDH	OGDH	44646171	44748665	7
OGDHL	OGDHL	50942689	50970425	10
OGFOD1	OGFOD1	56485402	56513012	16
OGFOD2	OGFOD2	123459127	123464590	12
OGFOD3	OGFOD3	80347099	80376513	17
OGFR	OGFR	61436187	61445352	20
OGFRL1	OGFRL1	71998506	72018653	6
OGG1	OGG1	9791628	9829903	3
OGN	OGN	95146249	95166978	9
OGT	OGT	70752933	70795747	X
OIP5	OIP5	41601466	41624819	15
OIT3	OIT3	74653339	74692791	10
OLA1	OLA1	174937175	175113426	2
OLAH	OLAH	15074226	15115851	10
OLFM1	OLFM1	137967268	138013025	9
OLFM2	OLFM2	9964394	10047228	19
OLFM3	OLFM3	102268130	102462586	1
OLFM4	OLFM4	53602894	53626192	13
OLFML1	OLFML1	7506619	7532608	11
OLFML2A	OLFML2A	127539437	127577164	9
OLFML2B	OLFML2B	161952982	161993644	1
OLFML3	OLFML3	114522063	114524876	1
OLIG1	OLIG1	34442450	34444726	21
OLIG2	OLIG2	34398153	34401504	21
OLIG3	OLIG3	137813336	137815531	6
OLR1	OLR1	10310902	10324737	12
OMA1	OMA1	58881056	59012474	1
OMD	OMD	95176527	95186743	9
OMG	OMG	29599031	29624557	17
ONECUT1	ONECUT1	53049637	53083273	15
ONECUT2	ONECUT2	55102917	55158529	18
ONECUT3	ONECUT3	1752372	1780987	19
OOEP	OOEP	74078278	74104856	6
OOSP2	OOSP2	59807748	59815517	11
OPA1	OPA1	193310933	193415612	3
OPA3	OPA3	46030685	46105470	19
OPALIN	OPALIN	98102973	98119092	10
OPCML	OPCML	132284871	133402414	11
OPHN1	OPHN1	67262186	67653755	X
OPLAH	OPLAH	145106167	145118735	8
OPN1MW2	OPN1MW2	153485225	153498755	X
OPN1SW	OPN1SW	128412545	128415844	7
OPN3	OPN3	241753404	241840678	1
OPN4	OPN4	88414314	88426605	10
OPN5	OPN5	47749718	47800516	6
OPRD1	OPRD1	29138654	29190208	1
OPRK1	OPRK1	54138284	54164257	8
OPRL1	OPRL1	62711526	62731996	20
OPRM1	OPRM1	154331631	154568001	6
OPTC	OPTC	203463271	203477992	1
OPTN	OPTN	13141449	13180291	10
OR10A3	OR10A3	7960081	7961141	11
OR10A7	OR10A7	55614809	55615759	12
OR10AD1	OR10AD1	48596081	48597170	12
OR10D3	OR10D3	124055923	124056952	11
OR10G3	OR10G3	22037934	22038875	14
OR10G4	OR10G4	123886282	123887217	11
OR10G7	OR10G7	123908773	123909717	11
OR10G8	OR10G8	123900297	123901341	11
OR10H1	OR10H1	15917817	15918936	19
OR10H2	OR10H2	15838834	15839862	19
OR10H4	OR10H4	16059818	16060768	19
OR10H5	OR10H5	15904761	15905892	19
OR10K2	OR10K2	158389718	158390656	1
OR10Q1	OR10Q1	57995354	57996390	11
OR10S1	OR10S1	123847368	123848488	11
OR10T2	OR10T2	158368312	158369256	1
OR10V1	OR10V1	59480296	59481337	11
OR10W1	OR10W1	58034264	58035732	11
OR11G2	OR11G2	20665495	20666605	14
OR11H12	OR11H12	19377522	19378606	14
OR11H2	OR11H2	20181104	20182079	14
OR13A1	OR13A1	45798102	45811056	10
OR13C2	OR13C2	107366924	107367951	9
OR13C4	OR13C4	107288534	107289490	9
OR13C8	OR13C8	107331449	107332411	9
OR13D1	OR13D1	107456660	107457766	9
OR13F1	OR13F1	107266455	107267547	9
OR13G1	OR13G1	247835320	247836365	1
OR13H1	OR13H1	130677950	130679030	X
OR13J1	OR13J1	35869375	35870461	9
OR14A16	OR14A16	247978102	247979031	1
OR14C36	OR14C36	248512077	248513015	1
OR14I1	OR14I1	248844628	248845629	1
OR14K1	OR14K1	247901917	247902861	1
OR1C1	OR1C1	247920676	247921982	1
OR1D2	OR1D2	2995352	2996290	17
OR1D5	OR1D5	2965963	2966901	17
OR1E1	OR1E1	3300398	3301704	17
OR1E2	OR1E2	3336164	3337135	17
OR1F1	OR1F1	3254247	3255188	16
OR1G1	OR1G1	3029878	3030875	17
OR1I1	OR1I1	15197791	15199032	19
OR1J1	OR1J1	125239220	125240235	9
OR1J2	OR1J2	125273081	125274022	9
OR1K1	OR1K1	125562370	125563395	9
OR1L1	OR1L1	125423845	125424927	9
OR1L3	OR1L3	125437315	125438432	9
OR1L4	OR1L4	125486269	125487204	9
OR1L6	OR1L6	125512019	125513062	9
OR1M1	OR1M1	9203855	9204889	19
OR1N1	OR1N1	125288637	125289572	9
OR1Q1	OR1Q1	125376948	125378026	9
OR2A1	OR2A1	144015218	144016150	7
OR2A14	OR2A14	143826151	143827162	7
OR2A25	OR2A25	143771275	143772288	7
OR2A4	OR2A4	132021520	132022635	6
OR2A42	OR2A42	143929004	143929936	7
OR2A5	OR2A5	143747461	143748473	7
OR2A7	OR2A7	143955700	143956815	7
OR2AE1	OR2AE1	99473610	99474680	7
OR2AJ1	OR2AJ1	248097071	248098057	1
OR2B11	OR2B11	247614255	247615308	1
OR2B2	OR2B2	27878963	27880174	6
OR2B6	OR2B6	27925019	27925960	6
OR2C1	OR2C1	3405889	3406924	16
OR2C3	OR2C3	247693434	247697141	1
OR2D3	OR2D3	6942205	6943264	11
OR2F2	OR2F2	143632259	143633372	7
OR2G6	OR2G6	248684916	248685964	1
OR2K2	OR2K2	114089763	114090800	9
OR2L13	OR2L13	248100493	248264224	1
OR2L2	OR2L2	248201474	248202607	1
OR2T1	OR2T1	248569296	248570405	1
OR2T12	OR2T12	248457918	248458880	1
OR2T29	OR2T29	248721784	248722797	1
OR2T3	OR2T3	248636627	248637634	1
OR2T33	OR2T33	248436073	248437138	1
OR2T34	OR2T34	248737022	248738080	1
OR2T35	OR2T35	248801588	248802559	1
OR2T6	OR2T6	248550910	248551836	1
OR2T8	OR2T8	248084320	248085258	1
OR2W3	OR2W3	248031277	248060449	1
OR3A3	OR3A3	3323862	3324827	17
OR4A15	OR4A15	55135360	55136394	11
OR4A16	OR4A16	55110627	55111707	11
OR4B1	OR4B1	48238344	48239314	11
OR4C3	OR4C3	48346472	48347507	11
